Country,Real_GDP_per_Capita_USD,Total_Population,electricity_access_percent,electricity_generating_capacity_kW,roadways_km,mobile_cellular_subscriptions_total,broadband_fixed_subscriptions_total
BOSNIA AND HERZEGOVINA,15700.0,3807764.0,100.0,4775000.0,22926.0,3728775.0,770424.0
BOTSWANA,14800.0,2417596.0,73.0,766000.0,31747.0,4160553.0,259525.0
BRAZIL,14600.0,218689757.0,99.0,195037000.0,2000000.0,207046813.0,31500000.0
BRITISH VIRGIN ISLANDS,34200.0,39369.0,100.0,33000.0,200.0,35000.0,6738.0
BRUNEI,60100.0,484991.0,100.0,1261000.0,2976.0,603486.0,71078.0
BULGARIA,24400.0,6827736.0,99.0,11097000.0,19512.0,7902756.0,2115053.0
BURKINA FASO,2200.0,22489126.0,18.0,392000.0,15304.0,24678315.0,13979.0
BURMA,4000.0,57970293.0,72.0,7247000.0,157000.0,67930093.0,688185.0
BURUNDI,700.0,13162952.0,10.0,100000.0,12322.0,7740494.0,4230.0
CABO VERDE,6100.0,603901.0,95.0,205000.0,1350.0,590171.0,24839.0
CAMBODIA,4400.0,16891245.0,82.0,2954000.0,47263.0,19899790.0,233732.0
CAMEROON,3700.0,30135732.0,65.0,1754000.0,77589.0,22442414.0,722579.0
CANADA,47900.0,38516736.0,100.0,153251000.0,1042300.0,35960000.0,15390000.0
CENTRAL AFRICAN REPUBLIC,800.0,5552228.0,15.0,38000.0,24000.0,1800000.0,499.0
CHAD,1400.0,18523165.0,11.0,87000.0,40000.0,10000000.0,
CHILE,25400.0,18549457.0,100.0,29808000.0,77801.0,26571823.0,3763826.0
CHINA,12500.0,1413142846.0,100.0,2380000000.0,4960600.0,1750460000.0,483550000.0
COLOMBIA,14600.0,49336454.0,99.0,19769000.0,205379.0,75000000.0,7764772.0
